点赞数	评论数	转发数	阅读数	在看数	收藏数
1	0	0	45		0
57	1	0	5567		9
5	0	0	147		1
11	1	0	1385		1
1	0	0	35		0
82	1	0	14832		9
1	0	0	63		1
113	0	0	21444		21
0	0	0	89		1
10	0	0	1812		3
17	0	0	8040		4
70	2	0	3131		6
90	8	0	11637		18
33	0	0	1415		4
307	16	0	12009		115
7	1	0	416		4
90	0	0	2657		17
40	1	0	1691		7
20	1	0	1102		6
9	1	0	384		0
1	0	0	18		0
1	0	0	42		1
0	0	0	55		0
2	1	0	218		0
15	0	0	942		3
4	0	0	67		1
48	0	0	4310		10
50	1	0	10577		17
36	1	0	6839		9
765	5	0	84005		93
18	2	0	2954		2
70	0	0	10270		7
40	2	0	5179		12
16	0	0	576		1
9	2	0	1616		3
10	0	0	4203		7
66	1	0	3499		11
98	68	1	30042		32
59	1	0	7732		7
102	6	0	10651		20
246	6	0	23995		53
1272	148	0	108488		163
2	0	0	60		0
25	3	0	5186		8
283	49	0	114480		101
66	10	0	3553		12
240	43	0	82187		56
19	2	0	3083		1
138	15	0	19785		24
18	0	0	1981		3
74	9	0	13080		19
56	2	0	2409		3
6	0	0	396		0
33	1	0	2141		6
503	3	0	39510		83
33	1	0	9335		3
0	0	0	49		0
49	13	0	8956		12
26	4	0	4397		1
197	9	0	25607		41
15	0	0	3543		1
3	0	0	591		1
87	8	0	15001		24
8	0	0	2833		1
5	1	0	1844		2
9	0	0	444		3
46	0	0	4388		11
39	0	0	12658		19
11	0	0	5200		3
46	38	1	5559		9
3	0	0	102		0
34	0	0	2405		11
1039	544	2	68135		174
9	0	0	502		1
19	1	0	885		7
77	6	2	14185		25
40	22	2	3225		22
21	1	0	1342		4
30	0	0	1641		6
25	0	0	1097		7
9	0	0	606		4
253	25	0	18214		41
4	0	0	259		0
65	12	0	5018		14
3	0	0	228		4
23	3	0	1590		12
38	2	0	8294		7
12	2	0	1232		5
10	0	0	330		0
148	7	0	11408		17
68	7	0	5561		15
69	0	0	5374		10
2	0	0	274		0
3	0	0	385		0
237	75	2	40102		58
8	1	0	596		3
5	0	0	383		0
197	34	1	11219		44
19	0	0	1141		3
3	0	0	32		0
10	1	0	1123		3
406	1	0	29100		62
157	2	0	20189		36
36	2	0	3377		5
219	190	1	18725		67
4	0	0	58		2
1	0	0	52		0
29	1	0	4292		9
40	0	0	2047		8
34	0	0	1712		4
29	2	0	5236		4
71	1	0	8203		7
15	0	0	1317		2
53	3	0	10313		12
122	4	0	7588		21
83	0	0	12768		13
50	14	0	7215		12
20	10	0	2839		1
20	0	0	985		1
67	2	0	3109		17
77	17	0	14472		20
64	0	0	6346		10
885	72	0	111179		173
60	0	0	2460		11
74	0	0	7181		7
94	2	0	14207		19
10	0	0	323		3
42	2	0	7091		14
20	0	0	2593		4
10	0	0	2517		7
1	0	0	91		0
48	0	0	8537		6
176	17	0	17367		70
11	0	0	238		2
20	0	0	1777		10
930	101	0	95607		328
43	19	0	2404		12
22	1	0	1846		3
13	0	0	507		5
85	0	0	7804		10
49	0	0	3155		9
10	0	0	1200		6
16	2	0	1025		3
6	1	0	587		1
85	3	0	25444		26
23	0	0	4588		6
281	1	0	35626		43
37	1	0	6691		6
13	3	0	5208		5
90	2	0	11685		12
173	0	0	6846		21
142	9	1	18777		13
7	0	0	602		0
521	132	0	38510		158
5	0	0	366		0
126	5	0	8133		7
91	38	0	22914		24
15	0	0	4725		3
23	1	0	4764		4
10	0	0	2733		1
111	3	0	30044		21
4	0	0	717		0
21	0	0	1946		1
1	1	0	99		0
32	4	0	4598		3
90	14	0	20113		40
43	1	0	9205		6
219	2	0	25695		41
2	0	0	197		0
1	0	0	37		1
12	2	0	895		1
72	13	0	21310		19
333	31	0	76183		72
2	0	0	841		0
50	1	1	2371		4
1	0	0	12		0
3	0	0	156		0

3	0	0	296		1
90	7	0	7840		19
495	146	0	69298		80
51	0	0	5926		7
6	0	0	318		1
2	0	0	382		0
12	1	0	2298		5
31	6	1	5415		6
38	0	0	6300		9
41	3	0	2380		9
38	0	0	4588		7
4	0	0	201		1
7	0	0	272		0
29	0	0	1051		3
16	0	0	588		2
22	0	0	1535		4
22	1	0	656		7
61	0	0	3223		12
16	0	0	599		5
16	3	0	1465		4
110	8	0	22362		16
19	6	1	3924		12
188	10	0	25141		19
11	0	0	1830		0
1	0	0	80		1
122	10	0	12663		11
33	0	0	3397		6
40	1	0	14859		12
5	0	0	269		1
3	2	0	250		1
1	0	0	39		1
1106	258	3	130704		202
0	0	0	40		1
204	8	0	14953		29
10	1	0	965		4
1	0	0	123		1
13	0	1	1124		3
101	1	0	13446		23
210	3	0	11343		23

173	75	5	52885		107
